dx,dxname,dxshort,edcnnpa,edcnpa,epct,noner,alcohol,drug,injury,psych,unc
01013,PRIM TB PLEURIS-MICRO DX,PRIM TB PLEURIS-MICRO DX,0,0,0,0,0,0,0,0,1
01014,PRIM TB PLEURISY-CULT DX,PRIM TB PLEURISY-CULT DX,0,0,0,0,0,0,0,0,1
01015,PRIM TB PLEURIS-HISTO DX,PRIM TB PLEURIS-HISTO DX,0,0,0,0,0,0,0,0,1
01016,PRIM TB PLEURIS-OTH TEST,PRIM TB PLEURIS-OTH TEST,0,0,0,0,0,0,0,0,1
01080,PRIM PROG TB NEC-UNSPEC,PRIM PROG TB NEC-UNSPEC,0,0,0,0,0,0,0,0,1
01081,PRIM PROG TB NEC-NO EXAM,PRIM PROG TB NEC-NO EXAM,0,0,0,0,0,0,0,0,1
01082,PRIM PR TB NEC-EXAM UNKN,PRIM PR TB NEC-EXAM UNKN,0,0,0,0,0,0,0,0,1
01083,PRIM PRG TB NEC-MICRO DX,PRIM PRG TB NEC-MICRO DX,0,0,0,0,0,0,0,0,1
01084,PRIM PROG TB NEC-CULT DX,PRIM PROG TB NEC-CULT DX,0,0,0,0,0,0,0,0,1
01085,PRIM PRG TB NEC-HISTO DX,PRIM PRG TB NEC-HISTO DX,0,0,0,0,0,0,0,0,1
01086,PRIM PRG TB NEC-OTH TEST,PRIM PRG TB NEC-OTH TEST,0,0,0,0,0,0,0,0,1
01090,PRIMARY TB NOS-UNSPEC,PRIMARY TB NOS-UNSPEC,0,0,0,0,0,0,0,0,1
01091,PRIMARY TB NOS-NO EXAM,PRIMARY TB NOS-NO EXAM,0,0,0,0,0,0,0,0,1
01092,PRIMARY TB NOS-EXAM UNKN,PRIMARY TB NOS-EXAM UNKN,0,0,0,0,0,0,0,0,1
01093,PRIMARY TB NOS-MICRO DX,PRIMARY TB NOS-MICRO DX,0,0,0,0,0,0,0,0,1
01094,PRIMARY TB NOS-CULT DX,PRIMARY TB NOS-CULT DX,0,0,0,0,0,0,0,0,1
01095,PRIMARY TB NOS-HISTO DX,PRIMARY TB NOS-HISTO DX,0,0,0,0,0,0,0,0,1
01096,PRIMARY TB NOS-OTH TEST,PRIMARY TB NOS-OTH TEST,0,0,0,0,0,0,0,0,1
01100,TB LUNG INFILTR-UNSPEC,TB LUNG INFILTR-UNSPEC,0,0,0,0,0,0,0,0,1
01101,TB LUNG INFILTR-NO EXAM,TB LUNG INFILTR-NO EXAM,0,0,0,0,0,0,0,0,1
01102,TB LUNG INFILTR-EXM UNKN,TB LUNG INFILTR-EXM UNKN,0,0,0,0,0,0,0,0,1
01103,TB LUNG INFILTR-MICRO DX,TB LUNG INFILTR-MICRO DX,0,0,0,0,0,0,0,0,1
01104,TB LUNG INFILTR-CULT DX,TB LUNG INFILTR-CULT DX,0,0,0,0,0,0,0,0,1
01105,TB LUNG INFILTR-HISTO DX,TB LUNG INFILTR-HISTO DX,0,0,0,0,0,0,0,0,1
01106,TB LUNG INFILTR-OTH TEST,TB LUNG INFILTR-OTH TEST,0,0,0,0,0,0,0,0,1
01110,TB LUNG NODULAR-UNSPEC,TB LUNG NODULAR-UNSPEC,0,0,0,0,0,0,0,0,1
01111,TB LUNG NODULAR-NO EXAM,TB LUNG NODULAR-NO EXAM,0,0,0,0,0,0,0,0,1
01112,TB LUNG NODUL-EXAM UNKN,TB LUNG NODUL-EXAM UNKN,0,0,0,0,0,0,0,0,1
01113,TB LUNG NODULAR-MICRO DX,TB LUNG NODULAR-MICRO DX,0,0,0,0,0,0,0,0,1
01114,TB LUNG NODULAR-CULT DX,TB LUNG NODULAR-CULT DX,0,0,0,0,0,0,0,0,1
01115,TB LUNG NODULAR-HISTO DX,TB LUNG NODULAR-HISTO DX,0,0,0,0,0,0,0,0,1
01116,TB LUNG NODULAR-OTH TEST,TB LUNG NODULAR-OTH TEST,0,0,0,0,0,0,0,0,1
01120,TB LUNG W CAVITY-UNSPEC,TB LUNG W CAVITY-UNSPEC,0,0,0,0,0,0,0,0,1
01121,TB LUNG W CAVITY-NO EXAM,TB LUNG W CAVITY-NO EXAM,0,0,0,0,0,0,0,0,1
01122,TB LUNG CAVITY-EXAM UNKN,TB LUNG CAVITY-EXAM UNKN,0,0,0,0,0,0,0,0,1
01123,TB LUNG W CAVIT-MICRO DX,TB LUNG W CAVIT-MICRO DX,0,0,0,0,0,0,0,0,1
01124,TB LUNG W CAVITY-CULT DX,TB LUNG W CAVITY-CULT DX,0,0,0,0,0,0,0,0,1
01125,TB LUNG W CAVIT-HISTO DX,TB LUNG W CAVIT-HISTO DX,0,0,0,0,0,0,0,0,1
01126,TB LUNG W CAVIT-OTH TEST,TB LUNG W CAVIT-OTH TEST,0,0,0,0,0,0,0,0,1
01130,TB OF BRONCHUS-UNSPEC,TB OF BRONCHUS-UNSPEC,0,0,0,0,0,0,0,0,1
01131,TB OF BRONCHUS-NO EXAM,TB OF BRONCHUS-NO EXAM,0,0,0,0,0,0,0,0,1
01132,TB OF BRONCHUS-EXAM UNKN,TB OF BRONCHUS-EXAM UNKN,0,0,0,0,0,0,0,0,1
01133,TB OF BRONCHUS-MICRO DX,TB OF BRONCHUS-MICRO DX,0,0,0,0,0,0,0,0,1
01134,TB OF BRONCHUS-CULT DX,TB OF BRONCHUS-CULT DX,0,0,0,0,0,0,0,0,1
01135,TB OF BRONCHUS-HISTO DX,TB OF BRONCHUS-HISTO DX,0,0,0,0,0,0,0,0,1
01136,TB OF BRONCHUS-OTH TEST,TB OF BRONCHUS-OTH TEST,0,0,0,0,0,0,0,0,1
01140,TB LUNG FIBROSIS-UNSPEC,TB LUNG FIBROSIS-UNSPEC,0,0,0,0,0,0,0,0,1
01141,TB LUNG FIBROSIS-NO EXAM,TB LUNG FIBROSIS-NO EXAM,0,0,0,0,0,0,0,0,1
01142,TB LUNG FIBROS-EXAM UNKN,TB LUNG FIBROS-EXAM UNKN,0,0,0,0,0,0,0,0,1
01143,TB LUNG FIBROS-MICRO DX,TB LUNG FIBROS-MICRO DX,0,0,0,0,0,0,0,0,1
01144,TB LUNG FIBROSIS-CULT DX,TB LUNG FIBROSIS-CULT DX,0,0,0,0,0,0,0,0,1
01145,TB LUNG FIBROS-HISTO DX,TB LUNG FIBROS-HISTO DX,0,0,0,0,0,0,0,0,1
01146,TB LUNG FIBROS-OTH TEST,TB LUNG FIBROS-OTH TEST,0,0,0,0,0,0,0,0,1
01150,TB BRONCHIECTASIS-UNSPEC,TB BRONCHIECTASIS-UNSPEC,0,0,0,0,0,0,0,0,1
01151,TB BRONCHIECT-NO EXAM,TB BRONCHIECT-NO EXAM,0,0,0,0,0,0,0,0,1
01152,TB BRONCHIECT-EXAM UNKN,TB BRONCHIECT-EXAM UNKN,0,0,0,0,0,0,0,0,1
01153,TB BRONCHIECT-MICRO DX,TB BRONCHIECT-MICRO DX,0,0,0,0,0,0,0,0,1
01154,TB BRONCHIECT-CULT DX,TB BRONCHIECT-CULT DX,0,0,0,0,0,0,0,0,1
01155,TB BRONCHIECT-HISTO DX,TB BRONCHIECT-HISTO DX,0,0,0,0,0,0,0,0,1
01156,TB BRONCHIECT-OTH TEST,TB BRONCHIECT-OTH TEST,0,0,0,0,0,0,0,0,1
01160,TB PNEUMONIA-UNSPEC,TB PNEUMONIA-UNSPEC,0,0,0,0,0,0,0,0,1
01161,TB PNEUMONIA-NO EXAM,TB PNEUMONIA-NO EXAM,0,0,0,0,0,0,0,0,1
01162,TB PNEUMONIA-EXAM UNKN,TB PNEUMONIA-EXAM UNKN,0,0,0,0,0,0,0,0,1
01163,TB PNEUMONIA-MICRO DX,TB PNEUMONIA-MICRO DX,0,0,0,0,0,0,0,0,1
01164,TB PNEUMONIA-CULT DX,TB PNEUMONIA-CULT DX,0,0,0,0,0,0,0,0,1
01165,TB PNEUMONIA-HISTO DX,TB PNEUMONIA-HISTO DX,0,0,0,0,0,0,0,0,1
01166,TB PNEUMONIA-OTH TEST,TB PNEUMONIA-OTH TEST,0,0,0,0,0,0,0,0,1
01170,TB PNEUMOTHORAX-UNSPEC,TB PNEUMOTHORAX-UNSPEC,0,0,0,0,0,0,0,0,1
01171,TB PNEUMOTHORAX-NO EXAM,TB PNEUMOTHORAX-NO EXAM,0,0,0,0,0,0,0,0,1
01172,TB PNEUMOTHORX-EXAM UNKN,TB PNEUMOTHORX-EXAM UNKN,0,0,0,0,0,0,0,0,1
01173,TB PNEUMOTHORAX-MICRO DX,TB PNEUMOTHORAX-MICRO DX,0,0,0,0,0,0,0,0,1
01174,TB PNEUMOTHORAX-CULT DX,TB PNEUMOTHORAX-CULT DX,0,0,0,0,0,0,0,0,1
01175,TB PNEUMOTHORAX-HISTO DX,TB PNEUMOTHORAX-HISTO DX,0,0,0,0,0,0,0,0,1
01176,TB PNEUMOTHORAX-OTH TEST,TB PNEUMOTHORAX-OTH TEST,0,0,0,0,0,0,0,0,1
01180,PULMONARY TB NEC-UNSPEC,PULMONARY TB NEC-UNSPEC,0,0,0,0,0,0,0,0,1
01181,PULMONARY TB NEC-NO EXAM,PULMONARY TB NEC-NO EXAM,0,0,0,0,0,0,0,0,1
01182,PULMON TB NEC-EXAM UNKN,PULMON TB NEC-EXAM UNKN,0,0,0,0,0,0,0,0,1
01183,PULMON TB NEC-MICRO DX,PULMON TB NEC-MICRO DX,0,0,0,0,0,0,0,0,1
01184,PULMON TB NEC-CULT DX,PULMON TB NEC-CULT DX,0,0,0,0,0,0,0,0,1
01185,PULMON TB NEC-HISTO DX,PULMON TB NEC-HISTO DX,0,0,0,0,0,0,0,0,1
01186,PULMON TB NEC-OTH TEST,PULMON TB NEC-OTH TEST,0,0,0,0,0,0,0,0,1
01190,PULMONARY TB NOS-UNSPEC,PULMONARY TB NOS-UNSPEC,0,0,0,0,0,0,0,0,1
01191,PULMONARY TB NOS-NO EXAM,PULMONARY TB NOS-NO EXAM,0,0,0,0,0,0,0,0,1
01192,PULMON TB NOS-EXAM UNKN,PULMON TB NOS-EXAM UNKN,0,0,0,0,0,0,0,0,1
01193,PULMON TB NOS-MICRO DX,PULMON TB NOS-MICRO DX,0,0,0,0,0,0,0,0,1
01194,PULMON TB NOS-CULT DX,PULMON TB NOS-CULT DX,0,0,0,0,0,0,0,0,1
01195,PULMON TB NOS-HISTO DX,PULMON TB NOS-HISTO DX,0,0,0,0,0,0,0,0,1
01196,PULMON TB NOS-OTH TEST,PULMON TB NOS-OTH TEST,0,0,0,0,0,0,0,0,1
01200,TB PLEURISY-UNSPEC,TB PLEURISY-UNSPEC,0,0,0,0,0,0,0,0,1
01201,TB PLEURISY-NO EXAM,TB PLEURISY-NO EXAM,0,0,0,0,0,0,0,0,1
01202,TB PLEURISY-EXAM UNKN,TB PLEURISY-EXAM UNKN,0,0,0,0,0,0,0,0,1
01203,TB PLEURISY-MICRO DX,TB PLEURISY-MICRO DX,0,0,0,0,0,0,0,0,1
01204,TB PLEURISY-CULT DX,TB PLEURISY-CULT DX,0,0,0,0,0,0,0,0,1
01205,TB PLEURISY-HISTOLOG DX,TB PLEURISY-HISTOLOG DX,0,0,0,0,0,0,0,0,1
01206,TB PLEURISY-OTH TEST,TB PLEURISY-OTH TEST,0,0,0,0,0,0,0,0,1
01210,TB THORACIC NODES-UNSPEC,TB THORACIC NODES-UNSPEC,0,0,0,0,0,0,0,0,1
01211,TB THORAX NODE-NO EXAM,TB THORAX NODE-NO EXAM,0,0,0,0,0,0,0,0,1
01212,TB THORAX NODE-EXAM UNKN,TB THORAX NODE-EXAM UNKN,0,0,0,0,0,0,0,0,1
01213,TB THORAX NODE-MICRO DX,TB THORAX NODE-MICRO DX,0,0,0,0,0,0,0,0,1
01214,TB THORAX NODE-CULT DX,TB THORAX NODE-CULT DX,0,0,0,0,0,0,0,0,1
01215,TB THORAX NODE-HISTO DX,TB THORAX NODE-HISTO DX,0,0,0,0,0,0,0,0,1
01216,TB THORAX NODE-OTH TEST,TB THORAX NODE-OTH TEST,0,0,0,0,0,0,0,0,1
01220,ISOL TRACHEAL TB-UNSPEC,ISOL TRACHEAL TB-UNSPEC,0,0,0,0,0,0,0,0,1
01221,ISOL TRACHEAL TB-NO EXAM,ISOL TRACHEAL TB-NO EXAM,0,0,0,0,0,0,0,0,1
01222,ISOL TRACH TB-EXAM UNKN,ISOL TRACH TB-EXAM UNKN,0,0,0,0,0,0,0,0,1
01223,ISOLAT TRACH TB-MICRO DX,ISOLAT TRACH TB-MICRO DX,0,0,0,0,0,0,0,0,1
01224,ISOL TRACHEAL TB-CULT DX,ISOL TRACHEAL TB-CULT DX,0,0,0,0,0,0,0,0,1
01225,ISOLAT TRACH TB-HISTO DX,ISOLAT TRACH TB-HISTO DX,0,0,0,0,0,0,0,0,1
01226,ISOLAT TRACH TB-OTH TEST,ISOLAT TRACH TB-OTH TEST,0,0,0,0,0,0,0,0,1
01230,TB LARYNGITIS-UNSPEC,TB LARYNGITIS-UNSPEC,0,0,0,0,0,0,0,0,1
01231,TB LARYNGITIS-NO EXAM,TB LARYNGITIS-NO EXAM,0,0,0,0,0,0,0,0,1
01232,TB LARYNGITIS-EXAM UNKN,TB LARYNGITIS-EXAM UNKN,0,0,0,0,0,0,0,0,1
01233,TB LARYNGITIS-MICRO DX,TB LARYNGITIS-MICRO DX,0,0,0,0,0,0,0,0,1
01234,TB LARYNGITIS-CULT DX,TB LARYNGITIS-CULT DX,0,0,0,0,0,0,0,0,1
01235,TB LARYNGITIS-HISTO DX,TB LARYNGITIS-HISTO DX,0,0,0,0,0,0,0,0,1
01236,TB LARYNGITIS-OTH TEST,TB LARYNGITIS-OTH TEST,0,0,0,0,0,0,0,0,1
01280,RESP TB NEC-UNSPEC,RESP TB NEC-UNSPEC,0,0,0,0,0,0,0,0,1
01281,RESP TB NEC-NO EXAM,RESP TB NEC-NO EXAM,0,0,0,0,0,0,0,0,1
01282,RESP TB NEC-EXAM UNKN,RESP TB NEC-EXAM UNKN,0,0,0,0,0,0,0,0,1
01283,RESP TB NEC-MICRO DX,RESP TB NEC-MICRO DX,0,0,0,0,0,0,0,0,1
01284,RESP TB NEC-CULT DX,RESP TB NEC-CULT DX,0,0,0,0,0,0,0,0,1
01285,RESP TB NEC-HISTO DX,RESP TB NEC-HISTO DX,0,0,0,0,0,0,0,0,1
01286,RESP TB NEC-OTH TEST,RESP TB NEC-OTH TEST,0,0,0,0,0,0,0,0,1
01300,TB MENINGITIS-UNSPEC,TB MENINGITIS-UNSPEC,0,0,0,0,0,0,0,0,1
01301,TB MENINGITIS-NO EXAM,TB MENINGITIS-NO EXAM,0,0,0,0,0,0,0,0,1
01302,TB MENINGITIS-EXAM UNKN,TB MENINGITIS-EXAM UNKN,0,0,0,0,0,0,0,0,1
01303,TB MENINGITIS-MICRO DX,TB MENINGITIS-MICRO DX,0,0,0,0,0,0,0,0,1
01304,TB MENINGITIS-CULT DX,TB MENINGITIS-CULT DX,0,0,0,0,0,0,0,0,1
01305,TB MENINGITIS-HISTO DX,TB MENINGITIS-HISTO DX,0,0,0,0,0,0,0,0,1
01306,TB MENINGITIS-OTH TEST,TB MENINGITIS-OTH TEST,0,0,0,0,0,0,0,0,1
01310,TUBRCLMA MENINGES-UNSPEC,TUBRCLMA MENINGES-UNSPEC,0,0,0,0,0,0,0,0,1
01311,TUBRCLMA MENING-NO EXAM,TUBRCLMA MENING-NO EXAM,0,0,0,0,0,0,0,0,1
01312,TUBRCLMA MENIN-EXAM UNKN,TUBRCLMA MENIN-EXAM UNKN,0,0,0,0,0,0,0,0,1
01313,TUBRCLMA MENING-MICRO DX,TUBRCLMA MENING-MICRO DX,0,0,0,0,0,0,0,0,1
01314,TUBRCLMA MENING-CULT DX,TUBRCLMA MENING-CULT DX,0,0,0,0,0,0,0,0,1
01315,TUBRCLMA MENING-HISTO DX,TUBRCLMA MENING-HISTO DX,0,0,0,0,0,0,0,0,1
01316,TUBRCLMA MENING-OTH TEST,TUBRCLMA MENING-OTH TEST,0,0,0,0,0,0,0,0,1
01320,TUBERCULOMA BRAIN-UNSPEC,TUBERCULOMA BRAIN-UNSPEC,0,0,0,0,0,0,0,0,1
01321,TUBRCLOMA BRAIN-NO EXAM,TUBRCLOMA BRAIN-NO EXAM,0,0,0,0,0,0,0,0,1
01322,TUBRCLMA BRAIN-EXAM UNKN,TUBRCLMA BRAIN-EXAM UNKN,0,0,0,0,0,0,0,0,1
01323,TUBRCLOMA BRAIN-MICRO DX,TUBRCLOMA BRAIN-MICRO DX,0,0,0,0,0,0,0,0,1
01324,TUBRCLOMA BRAIN-CULT DX,TUBRCLOMA BRAIN-CULT DX,0,0,0,0,0,0,0,0,1
01325,TUBRCLOMA BRAIN-HISTO DX,TUBRCLOMA BRAIN-HISTO DX,0,0,0,0,0,0,0,0,1
01326,TUBRCLOMA BRAIN-OTH TEST,TUBRCLOMA BRAIN-OTH TEST,0,0,0,0,0,0,0,0,1
01330,TB BRAIN ABSCESS-UNSPEC,TB BRAIN ABSCESS-UNSPEC,0,0,0,0,0,0,0,0,1
01331,TB BRAIN ABSCESS-NO EXAM,TB BRAIN ABSCESS-NO EXAM,0,0,0,0,0,0,0,0,1
01332,TB BRAIN ABSC-EXAM UNKN,TB BRAIN ABSC-EXAM UNKN,0,0,0,0,0,0,0,0,1
01333,TB BRAIN ABSC-MICRO DX,TB BRAIN ABSC-MICRO DX,0,0,0,0,0,0,0,0,1
01334,TB BRAIN ABSCESS-CULT DX,TB BRAIN ABSCESS-CULT DX,0,0,0,0,0,0,0,0,1
01335,TB BRAIN ABSC-HISTO DX,TB BRAIN ABSC-HISTO DX,0,0,0,0,0,0,0,0,1
01336,TB BRAIN ABSC-OTH TEST,TB BRAIN ABSC-OTH TEST,0,0,0,0,0,0,0,0,1
01340,TUBRCLMA SP CORD-UNSPEC,TUBRCLMA SP CORD-UNSPEC,0,0,0,0,0,0,0,0,1
